======MODEL TRAINING======

[init] device: cpu
[data] loading datasets...
[data] train samples: 280, val samples: 16
[data] train batches per epoch: 140
[model] model initialized and moved to device
[train] starting training loop
[train] epoch 1/10, batch 10/140, loss=0.8034
[train] epoch 1/10, batch 20/140, loss=0.8201
[train] epoch 1/10, batch 30/140, loss=1.1400
[train] epoch 1/10, batch 40/140, loss=1.0261
[train] epoch 1/10, batch 50/140, loss=1.0721
[train] epoch 1/10, batch 60/140, loss=0.9478
[train] epoch 1/10, batch 70/140, loss=0.5572
[train] epoch 1/10, batch 80/140, loss=0.2369
[train] epoch 1/10, batch 90/140, loss=0.4534
[train] epoch 1/10, batch 100/140, loss=0.3932
[train] epoch 1/10, batch 110/140, loss=0.4300
[train] epoch 1/10, batch 120/140, loss=0.6666
[train] epoch 1/10, batch 130/140, loss=1.0112
[train] epoch 1/10, batch 140/140, loss=0.5577
Epoch [1/10] Avg loss: 0.6538
[checkpoint] saved epoch 1 to outputs/checkpoints/model_epoch_1.pth
[train] epoch 2/10, batch 10/140, loss=0.5229
[train] epoch 2/10, batch 20/140, loss=0.2454
[train] epoch 2/10, batch 30/140, loss=0.3100
[train] epoch 2/10, batch 40/140, loss=0.5383
[train] epoch 2/10, batch 50/140, loss=0.5288
[train] epoch 2/10, batch 60/140, loss=0.5125
[train] epoch 2/10, batch 70/140, loss=0.3392
[train] epoch 2/10, batch 80/140, loss=0.3106
[train] epoch 2/10, batch 90/140, loss=0.3921
[train] epoch 2/10, batch 100/140, loss=0.5278
[train] epoch 2/10, batch 110/140, loss=0.4432
[train] epoch 2/10, batch 120/140, loss=0.2661
[train] epoch 2/10, batch 130/140, loss=0.2719
[train] epoch 2/10, batch 140/140, loss=0.2518
Epoch [2/10] Avg loss: 0.3773
[checkpoint] saved epoch 2 to outputs/checkpoints/model_epoch_2.pth
[train] epoch 3/10, batch 10/140, loss=0.2745
[train] epoch 3/10, batch 20/140, loss=0.1498
[train] epoch 3/10, batch 30/140, loss=0.2244
[train] epoch 3/10, batch 40/140, loss=0.2380
[train] epoch 3/10, batch 50/140, loss=0.2811
[train] epoch 3/10, batch 60/140, loss=0.0778
[train] epoch 3/10, batch 70/140, loss=0.1388
[train] epoch 3/10, batch 80/140, loss=0.3752
[train] epoch 3/10, batch 90/140, loss=0.0862
[train] epoch 3/10, batch 100/140, loss=0.2215
[train] epoch 3/10, batch 110/140, loss=0.2285
[train] epoch 3/10, batch 120/140, loss=0.2630
[train] epoch 3/10, batch 130/140, loss=0.3509
